component,description,effective_domain_size,goshv,intersection_size,intersections,name,native,p_value,parents,precision,query,query_size,recall,significant,source,term_size,source_order,group_id
241,"""Any process that modulates the frequency, rate or extent of a biological process. Biological processes are regulated by many means; examples include the control of gene expression, protein modification or interaction with a protein or substrate molecule."" [GOC:ai, GOC:go_curators]",20206,22520,146,"[['IBA'], [], ['IMP', 'ISS', 'TAS', 'IEA'], ['IDA'], [], ['ISS', 'IBA', 'IEA'], ['IBA', 'TAS', 'NAS', 'IEA'], ['IBA', 'TAS', 'NAS', 'IEA'], ['IDA', 'ISS', 'IBA', 'TAS', 'IEA'], ['IDA', 'IMP', 'ISS'], ['IEA'], ['IEA'], ['IBA'], ['IDA', 'IBA', 'IEA'], ['IDA', 'IGI', 'IBA', 'IEA'], [], ['IBA', 'IEA'], ['IMP', 'IBA', 'TAS', 'NAS'], ['IEA'], [], ['TAS', 'IEA'], ['IBA'], [], ['IDA', 'IMP'], ['ISS', 'IEA'], ['ISS'], ['IBA'], [], ['IDA', 'IMP', 'ISS', 'IBA', 'TAS'], ['IDA', 'ISS', 'IBA', 'IEA'], ['IEA'], ['IBA', 'TAS', 'NAS', 'IEA'], ['IMP', 'ISS', 'IBA', 'IEA'], ['IMP', 'IBA', 'TAS', 'IEA'], ['IDA', 'IMP', 'IGI', 'ISS', 'IBA', 'NAS', 'IC', 'IEA'], ['IDA', 'ISS', 'IBA', 'IEA'], ['IMP', 'ISS'], ['TAS'], ['IDA', 'HMP', 'IBA', 'IEA'], ['IDA', 'IMP', 'ISS', 'IBA', 'TAS', 'IEA'], [], ['IDA'], ['IBA', 'IEA'], ['IDA', 'IMP', 'ISS', 'IBA', 'IEA'], ['IDA', 'IBA', 'IEA'], ['IDA', 'IMP', 'IBA', 'IEA'], [], [], [], ['IDA', 'ISS', 'IC', 'IEA'], [], ['IDA', 'IMP', 'IGI', 'ISS', 'TAS'], ['ISS', 'IEA'], [], ['IDA', 'IMP', 'ISS', 'IBA', 'IEA'], ['IBA', 'IEA'], [], ['IBA', 'IEA'], ['IDA', 'ISS', 'IBA', 'TAS', 'NAS', 'IEA'], ['IDA', 'TAS', 'IEA'], ['IBA', 'IEA'], ['IDA', 'IBA', 'IEA'], ['ISS', 'ISO', 'IBA', 'TAS', 'NAS', 'IEA'], ['IDA', 'ISS', 'IBA', 'TAS', 'IEA'], ['IDA', 'ISO', 'IBA', 'NAS', 'IEA'], ['IBA', 'TAS'], ['IDA', 'IBA', 'IEA'], ['IDA', 'ISS', 'IBA', 'IEA'], ['IDA', 'IMP', 'IBA', 'TAS', 'IEA'], ['IDA', 'IBA', 'IEA'], ['IDA', 'IMP', 'ISS', 'IBA', 'IEA'], ['IEA'], ['IDA', 'IBA', 'IEA'], ['IDA', 'IGI', 'ISS', 'IBA', 'IEA'], ['ISS', 'IBA', 'TAS', 'IEA'], ['IMP'], [], ['IDA', 'ISS', 'IBA', 'TAS'], ['ISS', 'IBA', 'IEA'], ['IBA'], [], ['IDA', 'ISS', 'IEA'], ['ISS'], ['IBA', 'IEA'], ['IBA', 'IEA'], ['IMP', 'IBA'], [], ['IBA', 'IEA'], ['ISS', 'IEA'], ['IDA', 'IMP', 'ISS', 'IBA', 'TAS', 'IC', 'IEA'], ['IEA'], ['IDA', 'ISS', 'IBA', 'IEA'], ['IBA', 'IEA'], ['IDA', 'IMP', 'ISS', 'IBA', 'NAS', 'IEA'], ['IDA', 'IBA', 'TAS'], ['IDA', 'IMP', 'IBA', 'IEA'], ['IBA', 'TAS', 'IEA'], ['IDA', 'IMP', 'IGI', 'ISS', 'IBA', 'IEA'], ['IDA', 'IMP', 'ISS', 'IBA', 'TAS', 'NAS', 'IEA'], [], ['IMP'], ['ISS', 'IEA'], ['IBA', 'IEA'], [], ['IBA', 'IEA'], ['IDA', 'ISS', 'IBA', 'IC', 'IEA'], ['ISS', 'IBA', 'TAS', 'IEA'], ['IBA', 'IEA'], ['IDA', 'IMP', 'ISS', 'IBA', 'TAS', 'IEA'], ['IDA', 'ISS', 'IBA', 'IEA'], [], [], ['IDA', 'IMP', 'ISS', 'IBA', 'TAS', 'IEA'], ['IDA', 'TAS'], ['TAS', 'NAS'], ['IDA', 'ISS', 'IBA', 'IEA'], [], [], ['IDA', 'IMP', 'ISS', 'IBA', 'TAS', 'IEA'], ['IEA'], ['IDA', 'IMP', 'IBA', 'TAS'], [], ['IEA'], ['IMP'], ['TAS'], [], ['IEA'], ['IBA', 'TAS', 'IEA'], [], ['IDA', 'NAS', 'IEA'], ['IDA', 'ISS', 'IEA'], ['ISS', 'NAS', 'IEA'], ['IDA', 'IMP', 'IBA', 'NAS'], ['IMP', 'ISS', 'IEA'], ['TAS', 'IEA'], ['IBA', 'TAS', 'IEA'], ['ISS', 'TAS', 'IEA'], ['IBA', 'TAS', 'IEA'], ['IMP', 'IBA', 'IEA'], ['IDA', 'IBA', 'IEA'], ['ISS', 'IBA', 'TAS', 'IEA'], ['IDA', 'IBA', 'NAS', 'IEA'], ['ISS'], ['IMP', 'IBA'], ['IDA', 'IMP', 'IBA', 'IEA'], ['IDA', 'IBA', 'IEA'], [], [], ['IBA', 'TAS', 'IEA'], ['IDA', 'ISS', 'IBA', 'IEA'], ['IBA', 'IEA'], ['ISS', 'IBA'], ['ISS', 'IEA'], ['IEA'], ['ISS', 'IEA'], ['IDA', 'IMP', 'IBA', 'IEA'], ['IBA', 'IEA'], ['IBA', 'IEA'], [], ['IDA', 'ISS', 'TAS', 'IEA'], [], ['IEA'], ['IDA', 'IBA', 'IEA'], ['ISS', 'IBA', 'IEA'], ['IDA', 'IBA', 'IEA'], [], ['TAS'], ['IDA', 'ISS', 'IBA', 'IEA'], ['IDA', 'IMP', 'ISS', 'IBA', 'NAS', 'IEA'], [], ['IDA', 'ISS', 'IBA', 'TAS', 'IEA'], ['IDA', 'IBA', 'TAS', 'IEA'], ['IBA', 'IEA'], [], [], ['IDA', 'IMP', 'ISS', 'IBA', 'NAS', 'IEA'], ['IDA', 'ISS', 'IBA'], ['IDA', 'ISS', 'IBA', 'TAS', 'IEA'], ['IBA']]",regulation of biological process,GO:0050789,3.814187469007342e-17,"['GO:0008150', 'GO:0065007']",0.8156424581005587,query_1,179,0.015056202949365783,True,GO:BP,9697,12397,1
3,"""Any process that mediates the transfer of information from one cell to another. This process includes signal transduction in the receiving cell and, where applicable, release of a ligand and any processes that actively facilitate its transport and presentation to the receiving cell. Examples include signaling via soluble ligands, via cell adhesion molecules and via gap junctions."" [GOC:dos, GOC:mah]",20206,12782,45,"[['IBA'], [], ['IMP', 'ISS', 'IEA'], [], [], [], [], [], ['ISS', 'IBA', 'TAS'], [], [], [], [], [], [], [], ['IEA'], ['IBA', 'TAS', 'NAS'], ['IEA'], [], [], [], [], [], [], [], ['IBA'], [], ['IDA', 'ISS', 'IBA'], ['ISS', 'IEA'], [], ['IBA', 'TAS', 'NAS'], [], ['IBA', 'TAS', 'IEA'], ['ISS', 'IBA', 'NAS', 'IC', 'IEA'], ['IEA'], [], [], [], ['IEA'], [], [], [], [], [], [], [], [], [], [], [], [], [], [], ['ISS', 'IEA'], [], [], [], ['IDA', 'ISS', 'IBA', 'TAS', 'NAS'], [], ['IBA'], [], ['ISS', 'ISO', 'IBA', 'TAS', 'NAS', 'IEA'], ['IBA', 'TAS', 'IEA'], ['ISO'], [], [], ['IBA', 'IEA'], ['IBA', 'TAS', 'IEA'], ['IBA', 'IEA'], [], ['IEA'], [], ['IDA'], ['IEA'], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], ['IEA'], [], ['IBA', 'IEA'], [], [], [], [], ['ISS'], ['ISS'], [], [], [], [], [], [], ['IDA', 'IC'], ['ISS', 'IEA'], [], [], [], [], [], ['IEA'], [], [], [], [], [], [], [], [], [], [], [], ['TAS'], [], [], [], [], [], [], ['IEA'], [], [], ['IEA'], [], ['ISS'], [], [], [], [], [], [], [], [], [], [], [], [], [], ['IBA'], ['ISS', 'IBA'], [], [], [], [], ['IBA', 'IEA'], [], [], ['IDA', 'ISS', 'TAS', 'IEA'], [], [], [], [], [], [], ['TAS'], ['ISS'], [], [], ['ISS'], [], ['IEA'], [], [], [], [], [], []]",cell-cell signaling,GO:0007267,1.6723043159951275e-14,"['GO:0007154', 'GO:0023052']",0.25139664804469275,query_1,179,0.03862660944206009,True,GO:BP,1165,2659,1
19,"""The internally coordinated responses (actions or inactions) of animals (individuals or groups) to internal or external stimuli, via a mechanism that involves nervous system activity."" [GOC:ems, GOC:jl, ISBN:0395448956, PMID:20160973]",20206,13050,25,"[[], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], ['ISS'], [], [], [], [], [], [], [], ['IMP', 'TAS'], ['ISS', 'IEA'], [], [], [], [], ['ISS', 'IEA'], ['IEA'], [], [], [], ['IEA'], [], ['IEA'], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], ['TAS', 'IEA'], ['IEA'], ['IEA'], [], [], ['IEA'], ['IEA'], [], ['ISS'], [], [], [], ['IEA'], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], ['TAS'], ['ISS'], [], [], [], [], [], [], [], [], ['IEA'], [], [], [], [], [], ['IEA'], [], [], [], [], [], [], ['IEA'], [], [], ['IEA'], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], ['IEA'], [], [], [], [], [], ['ISS'], ['IEA'], [], ['IEA'], [], [], [], [], [], [], [], [], [], [], [], [], ['ISS'], []]",behavior,GO:0007610,2.0229459051777327e-08,['GO:0032501'],0.13966480446927373,query_1,179,0.04180602006688963,True,GO:BP,598,2927,1
20,"""Any process that modulates a qualitative or quantitative trait of a biological quality. A biological quality is a measurable attribute of an organism or part of an organism, such as size, mass, shape, color, etc."" [GOC:dph, GOC:isa_complete, GOC:mah, GOC:pr, GOC:vw]",20206,24908,55,"[['IBA'], [], ['IDA', 'IEA'], [], [], [], [], [], ['IBA', 'IEA'], [], [], [], ['IBA'], [], [], [], [], ['IBA', 'TAS', 'NAS'], [], [], [], [], [], [], [], [], [], [], ['IDA', 'IBA'], ['ISS', 'IEA'], [], [], [], [], ['ISS', 'IBA', 'NAS', 'IEA'], ['IDA', 'IBA', 'IEA'], ['IMP'], [], [], ['IMP', 'IBA', 'IEA'], [], ['IDA'], [], [], [], [], [], [], [], ['IC'], [], ['IDA'], ['IEA'], [], ['ISS', 'IEA'], ['IEA'], [], [], [], [], [], [], ['ISS', 'ISO', 'IBA', 'NAS', 'IEA'], ['IEA'], ['IDA', 'IMP', 'IBA', 'NAS', 'IEA'], [], [], ['IEA'], ['IEA'], ['IBA', 'IEA'], ['ISS'], [], [], ['IDA', 'ISS', 'IEA'], ['IEA'], ['IBA'], ['IBA'], [], [], [], [], ['IBA'], ['IBA'], [], [], [], [], [], [], [], ['IEA'], ['IBA', 'IEA'], [], [], [], [], ['TAS', 'IEA'], ['ISS'], ['ISS'], [], [], [], [], [], ['IEA'], ['IDA', 'IC'], ['ISS', 'IEA'], [], ['IDA'], ['IEA'], [], [], ['IEA'], [], [], ['ISS', 'IEA'], [], [], [], [], [], ['IMP'], [], [], ['IBA', 'IEA'], [], [], [], [], ['IEA'], [], ['ISS', 'IEA'], [], [], ['IEA'], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], ['IBA'], ['ISS'], [], [], [], ['IDA', 'IMP', 'IBA', 'IEA'], [], [], [], ['TAS', 'IEA'], [], [], [], [], ['IEA'], [], [], ['ISS'], [], [], ['ISS', 'TAS'], [], ['IEA'], [], [], [], [], [], []]",regulation of biological quality,GO:0065008,4.109436092044998e-08,['GO:0065007'],0.30726256983240224,query_1,179,0.02119460500963391,True,GO:BP,2595,14785,1
108,"""The directed movement of potassium ions (K+) into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore."" [GOC:ai]",20206,12488,15,"[[], [], [], [], [], [], [], [], [], [], ['ISO', 'IBA', 'IEA'], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], ['ISS', 'IBA', 'IEA'], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], ['IEA'], [], [], [], [], [], [], ['IMP', 'ISS', 'IBA', 'NAS', 'IEA'], [], [], [], ['IEA'], [], [], [], [], [], [], ['IDA', 'IBA', 'TAS', 'IEA'], ['IDA', 'IBA', 'IEA'], ['ISS', 'IBA', 'IEA'], ['ISS', 'IBA', 'IEA'], ['IBA', 'TAS', 'IEA'], ['IBA', 'IEA'], ['IDA', 'ISS', 'IBA', 'TAS', 'IEA'], ['ISS', 'IBA', 'TAS', 'IEA'], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], ['IEA'], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], ['ISS', 'IEA'], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], []]",potassium ion transport,GO:0006813,8.547577712065507e-08,['GO:0030001'],0.08379888268156424,query_1,179,0.07177033492822966,True,GO:BP,209,2365,1
275,"""The process in which a signal is secreted or discharged into the extracellular medium from a cellular source."" [GOC:mtg_signal]",20206,16333,20,"[['IBA'], [], ['IMP', 'ISS', 'IEA'], [], [], [], [], [], [], [], [], [], [], [], [], [], ['IEA'], ['NAS'], [], [], [], [], [], [], [], [], [], [], ['IDA', 'IBA'], [], [], [], [], ['IBA', 'IEA'], ['ISS', 'IBA', 'IEA'], [], [], [], [], ['IEA'], [], [], [], [], [], [], [], [], [], [], [], [], [], [], ['ISS', 'IEA'], [], [], [], [], [], [], [], [], ['IEA'], [], [], [], [], ['IEA'], [], [], [], [], ['IDA'], ['IEA'], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], ['ISS'], [], [], [], [], [], [], [], ['IDA', 'IC'], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], ['IEA'], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], ['ISS'], [], [], [], [], [], [], [], ['IDA', 'ISS', 'TAS', 'IEA'], [], [], [], [], [], [], [], [], [], [], ['ISS'], [], ['IEA'], [], [], [], [], [], []]",signal release,GO:0023061,2.223107203138772e-07,"['GO:0007267', 'GO:0032940']",0.11173184357541899,query_1,179,0.04597701149425287,True,GO:BP,435,6210,1
139,"""The vesicular release of glutamate from a presynapse, across a chemical synapse, the subsequent activation of glutamate receptors at the postsynapse of a target cell (neuron, muscle, or secretory cell) and the effects of this activation on the postsynaptic membrane potential and ionic composition of the postsynaptic cytosol. This process encompasses both spontaneous and evoked release of neurotransmitter and all parts of synaptic vesicle exocytosis. Evoked transmission starts with the arrival of an action potential at the presynapse."" [GOC:dos]",20206,18469,10,"[[], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], ['ISS', 'IBA', 'IEA'], ['IEA'], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], ['ISS', 'ISO', 'IBA'], ['IBA'], ['ISO'], [], [], [], ['IEA'], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], ['ISS'], [], [], [], [], [], [], [], [], [], [], [], [], [], [], ['IEA'], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], ['IBA'], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], ['ISS'], [], [], [], [], [], [], [], [], [], [], []]","synaptic transmission, glutamatergic",GO:0035249,1.4562724516233515e-06,['GO:0007268'],0.055865921787709494,query_1,179,0.10101010101010101,True,GO:BP,99,8346,1
43,"""An organ system process carried out by any of the organs or tissues of the neurological system."" [GOC:ai, GOC:mtg_cardio]",20206,22582,28,"[[], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], ['TAS'], ['IMP', 'ISS', 'IEA'], [], [], [], [], ['ISS', 'NAS', 'IEA'], [], [], [], [], [], [], ['IEA'], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], ['ISS', 'ISO', 'IBA', 'TAS', 'IEA'], [], ['IEA'], [], [], ['IEA'], ['IEA'], ['IEA'], [], [], [], [], ['IEA'], [], [], [], [], [], [], [], [], [], [], [], ['IBA'], [], [], [], [], [], [], [], [], [], [], ['ISS'], ['ISS'], [], [], [], [], [], [], [], ['IEA'], [], [], [], [], [], ['IEA'], [], [], [], [], ['IBA', 'IEA'], [], [], [], [], ['IEA'], [], [], [], [], ['TAS'], [], [], [], [], [], [], ['IEA'], [], [], ['IEA'], [], [], ['IEA'], [], [], [], [], [], [], [], [], ['TAS'], [], [], ['TAS'], [], [], [], [], [], [], ['IEA'], [], ['ISS'], ['IEA'], [], ['IEA'], [], [], ['ISS'], [], [], [], [], [], [], [], [], [], [], []]",nervous system process,GO:0050877,3.1341804863107596e-06,['GO:0003008'],0.1564245810055866,query_1,179,0.02854230377166157,True,GO:BP,981,12459,1
46,"""The series of molecular signals initiated by a ligand binding to its receptor, in which the activated receptor promotes the exchange of GDP for GTP on the alpha-subunit of an associated heterotrimeric G-protein complex. The GTP-bound activated alpha-G-protein then dissociates from the beta- and gamma-subunits to further transmit the signal within the cell. The pathway begins with receptor-ligand interaction, and ends with regulation of a downstream cellular process. The pathway can start from the plasma membrane, Golgi or nuclear membrane."" [GOC:bf, GOC:mah, PMID:16902576, PMID:24568158, Wikipedia:G_protein-coupled_receptor]",20206,12732,24,"[[], [], ['IMP'], [], [], ['ISS', 'IBA'], ['TAS', 'IEA'], ['IBA', 'TAS', 'NAS', 'IEA'], ['IBA', 'TAS', 'IEA'], [], [], ['IEA'], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], ['IDA', 'IGI', 'ISS', 'IBA', 'IEA'], [], [], ['TAS'], [], ['IDA', 'IMP', 'IBA', 'TAS', 'IEA'], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], ['IDA', 'TAS', 'IEA'], [], [], ['IDA', 'IBA', 'IEA'], [], ['IDA', 'IBA', 'IEA'], [], [], [], ['IDA', 'ISS', 'IBA', 'IEA'], ['IDA', 'IMP', 'IBA', 'IEA'], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], ['IBA', 'TAS', 'IEA'], [], ['IDA'], [], [], [], [], [], [], [], [], [], [], ['IEA'], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], ['TAS', 'IEA'], ['IBA', 'TAS', 'IEA'], ['ISS', 'TAS'], ['IBA', 'TAS', 'IEA'], [], [], ['IEA'], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], ['IDA', 'IBA', 'TAS', 'IEA'], ['IDA', 'IBA', 'TAS', 'IEA'], [], [], [], [], [], [], []]",G protein-coupled receptor signaling pathway,GO:0007186,4.215261524515377e-06,['GO:0007165'],0.1340782122905028,query_1,179,0.031788079470198675,True,GO:BP,755,2609,1
63,"""Any process that modulates the frequency, rate or extent of a system process, a multicellular organismal process carried out by any of the organs or tissues in an organ system."" [GOC:jl]",20206,20319,18,"[[], [], [], [], [], [], [], [], ['IEA'], [], [], [], [], [], [], [], [], ['TAS'], [], [], [], [], [], [], [], [], [], [], ['IDA', 'IBA'], ['ISS', 'IEA'], [], [], [], [], ['ISS', 'IEA'], [], [], [], [], ['IEA'], [], [], [], [], [], [], [], [], [], [], [], [], [], [], ['ISS'], [], [], [], [], [], [], [], ['ISS', 'ISO'], [], ['NAS'], [], [], ['IEA'], ['IEA'], [], [], [], [], ['ISS', 'IEA'], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], ['ISS', 'IEA'], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], ['IEA'], [], [], [], [], [], [], [], [], [], [], [], ['IEA'], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], ['IEA'], [], [], [], [], ['IEA'], [], [], ['ISS'], [], [], [], [], [], [], [], [], [], [], []]",regulation of system process,GO:0044057,1.915018969468033e-05,"['GO:0003008', 'GO:0051239']",0.1005586592178771,query_1,179,0.036885245901639344,True,GO:BP,488,10196,1
