bo2023_region_id,bo2023_region_name,bo2023_lobe,bo2023_saleem_network,bo2023_neocortex_flag,bo2023_roi173,bo2023_source_sample_count,resolution_tier,resolution_group,resolution_group_members,group_plausibility_tier,public_major_anatomy,public_network_or_subdivision,public_fine_anatomy_label,public_label_synonyms,mapping_level,mapping_confidence,mapping_rule,compatible_public_dataset_labels,ivy_gap_mapping_status,do_not_use_as_exact_ground_truth,caution_note
10m,"frontal polar,area 10m[10mc+10mr]",Frontal,Orbitomedial Prefrontal Cortex (OMPFC),Yes,10m,12,low_resolution,10m,10m,single_region_low_resolution,frontal lobe,orbitomedial prefrontal cortex,orbitomedial prefrontal cortex,"10m; frontal polar,area 10m[10mc+10mr]; prefrontal cortex; orbitomedial prefrontal cortex; frontal cortex",network/subdivision,medium,mapped to prefrontal subdivision by Saleem network and region name,"AHBA/Allen Human Brain Atlas anatomical labels | GTEx tissue-level brain labels | TCGA/CGGA tumor location labels when available | Ivy GAP only as tumor microanatomic grouping, not normal-region ground truth",no_direct_normal_brain_region_mapping,True,Use as anatomical label harmonization. Do not interpret public human/tumor labels as exact Bo2023 macaque region ground truth without dataset-specific manual review.
10o,"frontal polar anterior part,area 10o",Frontal,Lateral Prefrontal Cortex,Yes,10o,12,low_resolution,Lateral Prefrontal Cortex::10o + 12l + 12r + 45 + 46d + 46v + 8A,10o | 12l | 12r | 45 | 46d | 46v | 8A,requires_manual_review,frontal lobe,lateral prefrontal cortex,lateral prefrontal cortex,"10o; frontal polar anterior part,area 10o; prefrontal cortex; lateral prefrontal cortex; frontal cortex",network/subdivision,medium,mapped to prefrontal subdivision by Saleem network and region name,"AHBA/Allen Human Brain Atlas anatomical labels | GTEx tissue-level brain labels | TCGA/CGGA tumor location labels when available | Ivy GAP only as tumor microanatomic grouping, not normal-region ground truth",no_direct_normal_brain_region_mapping,True,Use as anatomical label harmonization. Do not interpret public human/tumor labels as exact Bo2023 macaque region ground truth without dataset-specific manual review.
11l,"obrital prefrontal area,area 11l",Frontal,Orbitomedial Prefrontal Cortex (OMPFC),Yes,11l,10,low_resolution,Orbitomedial Prefrontal Cortex (OMPFC)::11l + 11m + 12m + 12o + 13a + 13b + 13l + 32,11l | 11m | 12m | 12o | 13a | 13b | 13l | 32,requires_manual_review,frontal lobe,orbitomedial prefrontal cortex,orbitomedial prefrontal cortex,"11l; obrital prefrontal area,area 11l; prefrontal cortex; orbitomedial prefrontal cortex; frontal cortex",network/subdivision,medium,mapped to prefrontal subdivision by Saleem network and region name,"AHBA/Allen Human Brain Atlas anatomical labels | GTEx tissue-level brain labels | TCGA/CGGA tumor location labels when available | Ivy GAP only as tumor microanatomic grouping, not normal-region ground truth",no_direct_normal_brain_region_mapping,True,Use as anatomical label harmonization. Do not interpret public human/tumor labels as exact Bo2023 macaque region ground truth without dataset-specific manual review.
11m,"orbital prefrontal area,area 11m",Frontal,Orbitomedial Prefrontal Cortex (OMPFC),Yes,11m,7,low_resolution,Orbitomedial Prefrontal Cortex (OMPFC)::11l + 11m + 12m + 12o + 13a + 13b + 13l + 32,11l | 11m | 12m | 12o | 13a | 13b | 13l | 32,requires_manual_review,frontal lobe,orbitomedial prefrontal cortex,orbitomedial prefrontal cortex,"11m; orbital prefrontal area,area 11m; prefrontal cortex; orbitomedial prefrontal cortex; frontal cortex",network/subdivision,medium,mapped to prefrontal subdivision by Saleem network and region name,"AHBA/Allen Human Brain Atlas anatomical labels | GTEx tissue-level brain labels | TCGA/CGGA tumor location labels when available | Ivy GAP only as tumor microanatomic grouping, not normal-region ground truth",no_direct_normal_brain_region_mapping,True,Use as anatomical label harmonization. Do not interpret public human/tumor labels as exact Bo2023 macaque region ground truth without dataset-specific manual review.
12l,"lateral prefrontal cortex,area 12l,lateral part",Frontal,Lateral Prefrontal Cortex,Yes,12l,5,low_resolution,Lateral Prefrontal Cortex::10o + 12l + 12r + 45 + 46d + 46v + 8A,10o | 12l | 12r | 45 | 46d | 46v | 8A,requires_manual_review,frontal lobe,lateral prefrontal cortex,lateral prefrontal cortex,"12l; lateral prefrontal cortex,area 12l,lateral part; prefrontal cortex; lateral prefrontal cortex; frontal cortex",network/subdivision,medium,mapped to prefrontal subdivision by Saleem network and region name,"AHBA/Allen Human Brain Atlas anatomical labels | GTEx tissue-level brain labels | TCGA/CGGA tumor location labels when available | Ivy GAP only as tumor microanatomic grouping, not normal-region ground truth",no_direct_normal_brain_region_mapping,True,Use as anatomical label harmonization. Do not interpret public human/tumor labels as exact Bo2023 macaque region ground truth without dataset-specific manual review.
12m,"lateral prefrontal cortex,area 12m,medial part",Frontal,Orbitomedial Prefrontal Cortex (OMPFC),Yes,12m,7,low_resolution,Orbitomedial Prefrontal Cortex (OMPFC)::11l + 11m + 12m + 12o + 13a + 13b + 13l + 32,11l | 11m | 12m | 12o | 13a | 13b | 13l | 32,requires_manual_review,frontal lobe,orbitomedial prefrontal cortex,orbitomedial prefrontal cortex,"12m; lateral prefrontal cortex,area 12m,medial part; prefrontal cortex; orbitomedial prefrontal cortex; frontal cortex",network/subdivision,medium,mapped to prefrontal subdivision by Saleem network and region name,"AHBA/Allen Human Brain Atlas anatomical labels | GTEx tissue-level brain labels | TCGA/CGGA tumor location labels when available | Ivy GAP only as tumor microanatomic grouping, not normal-region ground truth",no_direct_normal_brain_region_mapping,True,Use as anatomical label harmonization. Do not interpret public human/tumor labels as exact Bo2023 macaque region ground truth without dataset-specific manual review.
12o,"lateral prefrontal cortex,area 12o,orbital part",Frontal,Orbitomedial Prefrontal Cortex (OMPFC),Yes,12o,6,low_resolution,Orbitomedial Prefrontal Cortex (OMPFC)::11l + 11m + 12m + 12o + 13a + 13b + 13l + 32,11l | 11m | 12m | 12o | 13a | 13b | 13l | 32,requires_manual_review,frontal lobe,orbitomedial prefrontal cortex,orbitomedial prefrontal cortex,"12o; lateral prefrontal cortex,area 12o,orbital part; prefrontal cortex; orbitomedial prefrontal cortex; frontal cortex",network/subdivision,medium,mapped to prefrontal subdivision by Saleem network and region name,"AHBA/Allen Human Brain Atlas anatomical labels | GTEx tissue-level brain labels | TCGA/CGGA tumor location labels when available | Ivy GAP only as tumor microanatomic grouping, not normal-region ground truth",no_direct_normal_brain_region_mapping,True,Use as anatomical label harmonization. Do not interpret public human/tumor labels as exact Bo2023 macaque region ground truth without dataset-specific manual review.
12r,"lateral prefrontal cortex,area 12r,rostal part?",Frontal,Lateral Prefrontal Cortex,Yes,12r,8,low_resolution,Lateral Prefrontal Cortex::10o + 12l + 12r + 45 + 46d + 46v + 8A,10o | 12l | 12r | 45 | 46d | 46v | 8A,requires_manual_review,frontal lobe,lateral prefrontal cortex,lateral prefrontal cortex,"12r; lateral prefrontal cortex,area 12r,rostal part?; prefrontal cortex; lateral prefrontal cortex; frontal cortex",network/subdivision,medium,mapped to prefrontal subdivision by Saleem network and region name,"AHBA/Allen Human Brain Atlas anatomical labels | GTEx tissue-level brain labels | TCGA/CGGA tumor location labels when available | Ivy GAP only as tumor microanatomic grouping, not normal-region ground truth",no_direct_normal_brain_region_mapping,True,Use as anatomical label harmonization. Do not interpret public human/tumor labels as exact Bo2023 macaque region ground truth without dataset-specific manual review.
13a,"orbitomedial prefrontal cortex,area 13a",Frontal,Orbitomedial Prefrontal Cortex (OMPFC),Yes,13a,6,low_resolution,Orbitomedial Prefrontal Cortex (OMPFC)::11l + 11m + 12m + 12o + 13a + 13b + 13l + 32,11l | 11m | 12m | 12o | 13a | 13b | 13l | 32,requires_manual_review,frontal lobe,orbitomedial prefrontal cortex,orbitomedial prefrontal cortex,"13a; orbitomedial prefrontal cortex,area 13a; prefrontal cortex; orbitomedial prefrontal cortex; frontal cortex",network/subdivision,medium,mapped to prefrontal subdivision by Saleem network and region name,"AHBA/Allen Human Brain Atlas anatomical labels | GTEx tissue-level brain labels | TCGA/CGGA tumor location labels when available | Ivy GAP only as tumor microanatomic grouping, not normal-region ground truth",no_direct_normal_brain_region_mapping,True,Use as anatomical label harmonization. Do not interpret public human/tumor labels as exact Bo2023 macaque region ground truth without dataset-specific manual review.
13b,"orbitomedial prefrontal cortex,area 13b",Frontal,Orbitomedial Prefrontal Cortex (OMPFC),Yes,13b,10,low_resolution,Orbitomedial Prefrontal Cortex (OMPFC)::11l + 11m + 12m + 12o + 13a + 13b + 13l + 32,11l | 11m | 12m | 12o | 13a | 13b | 13l | 32,requires_manual_review,frontal lobe,orbitomedial prefrontal cortex,orbitomedial prefrontal cortex,"13b; orbitomedial prefrontal cortex,area 13b; prefrontal cortex; orbitomedial prefrontal cortex; frontal cortex",network/subdivision,medium,mapped to prefrontal subdivision by Saleem network and region name,"AHBA/Allen Human Brain Atlas anatomical labels | GTEx tissue-level brain labels | TCGA/CGGA tumor location labels when available | Ivy GAP only as tumor microanatomic grouping, not normal-region ground truth",no_direct_normal_brain_region_mapping,True,Use as anatomical label harmonization. Do not interpret public human/tumor labels as exact Bo2023 macaque region ground truth without dataset-specific manual review.
13l,"orbitomedial prefrontal cortex,area 13l",Frontal,Orbitomedial Prefrontal Cortex (OMPFC),Yes,13l,9,low_resolution,Orbitomedial Prefrontal Cortex (OMPFC)::11l + 11m + 12m + 12o + 13a + 13b + 13l + 32,11l | 11m | 12m | 12o | 13a | 13b | 13l | 32,requires_manual_review,frontal lobe,orbitomedial prefrontal cortex,orbitomedial prefrontal cortex,"13l; orbitomedial prefrontal cortex,area 13l; prefrontal cortex; orbitomedial prefrontal cortex; frontal cortex",network/subdivision,medium,mapped to prefrontal subdivision by Saleem network and region name,"AHBA/Allen Human Brain Atlas anatomical labels | GTEx tissue-level brain labels | TCGA/CGGA tumor location labels when available | Ivy GAP only as tumor microanatomic grouping, not normal-region ground truth",no_direct_normal_brain_region_mapping,True,Use as anatomical label harmonization. Do not interpret public human/tumor labels as exact Bo2023 macaque region ground truth without dataset-specific manual review.
13m,"orbitomedial prefrontal cortex,area 13m",Frontal,Orbitomedial Prefrontal Cortex (OMPFC),Yes,13m,7,low_resolution,13m,13m,single_region_low_resolution,frontal lobe,orbitomedial prefrontal cortex,orbitomedial prefrontal cortex,"13m; orbitomedial prefrontal cortex,area 13m; prefrontal cortex; orbitomedial prefrontal cortex; frontal cortex",network/subdivision,medium,mapped to prefrontal subdivision by Saleem network and region name,"AHBA/Allen Human Brain Atlas anatomical labels | GTEx tissue-level brain labels | TCGA/CGGA tumor location labels when available | Ivy GAP only as tumor microanatomic grouping, not normal-region ground truth",no_direct_normal_brain_region_mapping,True,Use as anatomical label harmonization. Do not interpret public human/tumor labels as exact Bo2023 macaque region ground truth without dataset-specific manual review.
14c,"orbitomedial prefrontal area,14c",Frontal,Orbitomedial Prefrontal Cortex (OMPFC),Yes,14c,8,low_resolution,Orbitomedial Prefrontal Cortex (OMPFC)::14c + 14r + 25,14c | 14r | 25,strong_internal_support,frontal lobe,orbitomedial prefrontal cortex,orbitomedial prefrontal cortex,"14c; orbitomedial prefrontal area,14c; prefrontal cortex; orbitomedial prefrontal cortex; frontal cortex",network/subdivision,medium,mapped to prefrontal subdivision by Saleem network and region name,"AHBA/Allen Human Brain Atlas anatomical labels | GTEx tissue-level brain labels | TCGA/CGGA tumor location labels when available | Ivy GAP only as tumor microanatomic grouping, not normal-region ground truth",no_direct_normal_brain_region_mapping,True,Use as anatomical label harmonization. Do not interpret public human/tumor labels as exact Bo2023 macaque region ground truth without dataset-specific manual review.
14r,"orbitomedial prefrontal area,14r",Frontal,Orbitomedial Prefrontal Cortex (OMPFC),Yes,14r,10,low_resolution,Orbitomedial Prefrontal Cortex (OMPFC)::14c + 14r + 25,14c | 14r | 25,strong_internal_support,frontal lobe,orbitomedial prefrontal cortex,orbitomedial prefrontal cortex,"14r; orbitomedial prefrontal area,14r; prefrontal cortex; orbitomedial prefrontal cortex; frontal cortex",network/subdivision,medium,mapped to prefrontal subdivision by Saleem network and region name,"AHBA/Allen Human Brain Atlas anatomical labels | GTEx tissue-level brain labels | TCGA/CGGA tumor location labels when available | Ivy GAP only as tumor microanatomic grouping, not normal-region ground truth",no_direct_normal_brain_region_mapping,True,Use as anatomical label harmonization. Do not interpret public human/tumor labels as exact Bo2023 macaque region ground truth without dataset-specific manual review.
23a,23a,Cingulate,Cingulate gyrus,Yes,23a,1,low_resolution,23a,23a,single_region_low_resolution,cingulate cortex,cingulate cortex,cingulate cortex,23a; 23a; cingulate cortex; cingulate gyrus,major_structure,medium,mapped to major cortical structure by Bo2023 lobe/network,"AHBA/Allen Human Brain Atlas anatomical labels | GTEx tissue-level brain labels | TCGA/CGGA tumor location labels when available | Ivy GAP only as tumor microanatomic grouping, not normal-region ground truth",no_direct_normal_brain_region_mapping,True,Use as anatomical label harmonization. Do not interpret public human/tumor labels as exact Bo2023 macaque region ground truth without dataset-specific manual review.
23b,"posterior cingulate cortex,area 23b",Cingulate,Cingulate gyrus,Yes,23b,4,low_resolution,Cingulate gyrus::23b + 23c + 24b',23b | 23c | 24b',strong_internal_support,cingulate cortex,cingulate cortex,cingulate cortex,"23b; posterior cingulate cortex,area 23b; cingulate cortex; cingulate gyrus",major_structure,medium,mapped to major cortical structure by Bo2023 lobe/network,"AHBA/Allen Human Brain Atlas anatomical labels | GTEx tissue-level brain labels | TCGA/CGGA tumor location labels when available | Ivy GAP only as tumor microanatomic grouping, not normal-region ground truth",no_direct_normal_brain_region_mapping,True,Use as anatomical label harmonization. Do not interpret public human/tumor labels as exact Bo2023 macaque region ground truth without dataset-specific manual review.
23c,"posterior cingulate cortex,area 23c",Cingulate,Cingulate gyrus,Yes,23c,5,low_resolution,Cingulate gyrus::23b + 23c + 24b',23b | 23c | 24b',strong_internal_support,cingulate cortex,cingulate cortex,cingulate cortex,"23c; posterior cingulate cortex,area 23c; cingulate cortex; cingulate gyrus",major_structure,medium,mapped to major cortical structure by Bo2023 lobe/network,"AHBA/Allen Human Brain Atlas anatomical labels | GTEx tissue-level brain labels | TCGA/CGGA tumor location labels when available | Ivy GAP only as tumor microanatomic grouping, not normal-region ground truth",no_direct_normal_brain_region_mapping,True,Use as anatomical label harmonization. Do not interpret public human/tumor labels as exact Bo2023 macaque region ground truth without dataset-specific manual review.
24a,"anterior cingulate cortex,area 24a",Cingulate,Cingulate gyrus,Yes,24a,2,low_resolution,24a,24a,single_region_low_resolution,cingulate cortex,cingulate cortex,cingulate cortex,"24a; anterior cingulate cortex,area 24a; cingulate cortex; cingulate gyrus",major_structure,medium,mapped to major cortical structure by Bo2023 lobe/network,"AHBA/Allen Human Brain Atlas anatomical labels | GTEx tissue-level brain labels | TCGA/CGGA tumor location labels when available | Ivy GAP only as tumor microanatomic grouping, not normal-region ground truth",no_direct_normal_brain_region_mapping,True,Use as anatomical label harmonization. Do not interpret public human/tumor labels as exact Bo2023 macaque region ground truth without dataset-specific manual review.
24a',"anterior cingulate cortex,area 24a'",Cingulate,Cingulate gyrus,Yes,24a',3,low_resolution,24a',24a',single_region_low_resolution,cingulate cortex,cingulate cortex,cingulate cortex,"24a'; anterior cingulate cortex,area 24a'; cingulate cortex; cingulate gyrus",major_structure,medium,mapped to major cortical structure by Bo2023 lobe/network,"AHBA/Allen Human Brain Atlas anatomical labels | GTEx tissue-level brain labels | TCGA/CGGA tumor location labels when available | Ivy GAP only as tumor microanatomic grouping, not normal-region ground truth",no_direct_normal_brain_region_mapping,True,Use as anatomical label harmonization. Do not interpret public human/tumor labels as exact Bo2023 macaque region ground truth without dataset-specific manual review.
