issue,current_repository_statement,recomputed_value,authoritative_source,action,status,notes
AHBA endpoint evaluability,Historical AHBA traces can be read as competing sequential sample-flow accounts.,231 replicate-collapsed tissues; Network n=223; group/exact n=88; Network single-label n=56; group/exact single-label n=40,ahba_formal_three_tier_sample_detail.csv,Created the canonical endpoint-evaluability ledger and classified old traces as historical engineering traces.,FIXED_STALE_VALUE,Endpoint-specific eligibility is not a unique sequential attrition pipeline.
AHBA donor-resource scope,The RNA-seq provenance table described six total donors and four exclusions.,2 RNA-seq donors with a selected set of matched anatomical structures; the distinct AHBA microarray resource contains 6 donors,https://human.brain-map.org/static/download,Separated the RNA-seq and microarray donor counts in the detailed provenance table.,FIXED_STALE_VALUE,The canonical 231-tissue AHBA endpoint audit uses the two-donor RNA-seq resource.
TCGA/BraTS primary edema comparator,The audit script reported edema n=64.,"edema n=63; exclusions=[{'patient_barcode': 'TCGA-HT-7680', 'reason': 'cerebellar_or_posterior_fossa_outside_current_braintrace_label_space'}, {'patient_barcode': 'TCGA-HT-7686', 'reason': 'no_label_2_edema_voxels'}]",brats_tcga_lgg_65_mri_truth_and_predictions.csv,Derived patient counts from the per-patient truth/prediction output and corrected endpoint metadata.,FIXED_STALE_VALUE,No underlying TCGA/BraTS prediction hit was changed.
TCGA/BraTS strict Top3 truth-basis range,Current provenance lacked a source-derived range audit and risked retaining 32.02 pp.,"Network 19/65, 12/65, 15/63, 10/65; range=13.85 pp. Broad range=33.31 pp",brats_tcga_lgg_65_mri_truth_and_predictions.csv,Added source-derived strict truth-basis summary and synchronized current documentation.,DOCUMENTATION_SYNC,"Broad range is computed from 32/65, 45/65, 52/63, and 46/65."
TCGA MRI-linked cohort label,The 65 MRI-linked expression cases were labelled TCGA-GBM / TCGA-LGG.,65 TCGA-LGG expression cases linked to the BraTS-TCGA-LGG training cohort,https://www.cancerimagingarchive.net/analysis-result/brats-tcga-lgg/,Narrowed the table label and role to the actual MRI-linked TCGA-LGG subset.,FIXED_STALE_VALUE,Legacy filenames retain the broader tcga_gbm_lgg stem but do not change the linked cohort identity.
BraTS-TCGA-LGG external provenance,The dataset was linked to Zenodo DOI 10.5281/zenodo.3718921 and described as CC BY 4.0.,TCIA DOI 10.7937/K9/TCIA.2017.GJQ7R0EF; 65-subject public training set under CC BY 3.0; separate 43-subject test set controlled,https://www.cancerimagingarchive.net/analysis-result/brats-tcga-lgg/,Replaced the deleted-spam Zenodo record with the TCIA dataset DOI and corrected access/licensing.,FIXED_STALE_VALUE,The TCIA analysis-result container reports 108 subjects overall.
GSE189919 matrix row count,"The source table reported 72,108 expression rows.","51 samples and 59,453 raw gene rows in each official GEO count/TPM matrix; 15,622/21,668 frozen-projector genes overlap",https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE189919,Counted the official GEO matrices and corrected the source-table row count.,FIXED_STALE_VALUE,"The 15,622-gene overlap was independently recomputed and remains unchanged."
Orthology/humanization denominator unit,A row-level percentage could be misread as a unique-gene percentage.,5324/8800 humanized and 3476/8800 unmapped gene-by-region row occurrences; Top200 orthology=188/200; g:Profiler=179/200,signature_humanization_8800.csv,Made row-occurrence unit explicit and kept Top200 orthology and g:Profiler universes separate.,FIXED_STALE_VALUE,"8,800 is not a count of independent macaque genes."
LOSO tier-cascade denominator,Historical prose used 66/446=14.8% and Group conditional 78.32%.,exact n=814; exact Top3=368/814; Network candidate misses=64/446=14.35%; exact conditional=368/750=49.07%; group conditional=590/750=78.67%,hybrid_formal_loso_exact_region_detail.csv,Recomputed within the shared exact-evaluable sample universe and replaced stale denominator leakage.,FIXED_STALE_VALUE,Exact and group recovery after a Network candidate-set miss are both 0%.
Sign-flip traceability,Traceability retained prior three-test BH values for two current endpoints.,"Network Top1: raw=0.031250, BH=0.125000; Network Top3: raw=0.375000, BH=0.500000; resolution-group Top3: raw=0.593750, BH=0.593750; exact-region Top3: raw=0.324219, BH=0.500000",exact_sign_flip_tests.csv,Applied one four-test BH family to source raw P values and synchronized traceability.,FIXED_STALE_VALUE,None significant after BH correction.
